   Wavelength  Flux
   4392.800       1.753631    
   4393.700       1.737468    
   4394.600       1.720080    
   4395.500       1.719608    
   4396.400       1.742442    
   4397.300       1.760898    
   4398.200       1.761857    
   4399.100       1.752410    
   4400.000       1.747637    
   4400.900       1.751052    
   4401.800       1.757409    
   4402.700       1.752248    
   4403.600       1.734190    
   4404.500       1.718218    
   4405.400       1.729122    
   4406.300       1.749352    
   4407.200       1.762087    
   4408.100       1.765616    
   4409.000       1.767094    
   4409.900       1.767201    
   4410.800       1.768168    
   4411.700       1.768662    
   4412.600       1.768794    
   4413.500       1.755555    
   4414.400       1.734124    
   4415.300       1.716594    
   4416.200       1.716309    
   4417.100       1.726355    
   4418.000       1.742513    
   4418.900       1.755637    
   4419.800       1.760888    
   4420.700       1.761540    
   4421.600       1.766586    
   4422.500       1.768674    
   4423.400       1.767062    
   4424.300       1.762509    
   4425.200       1.753980    
   4426.100       1.749694    
   4427.000       1.746198    
   4427.900       1.748042    
   4428.800       1.749549    
   4429.700       1.752115    
   4430.600       1.750260    
   4431.500       1.745481    
   4432.400       1.741402    
   4433.300       1.734854    
   4434.200       1.722801    
   4435.100       1.721735    
   4436.000       1.731610    
   4436.900       1.743728    
   4437.800       1.746840    
   4438.700       1.748505    
   4439.600       1.746408    
   4440.500       1.741005    
   4441.400       1.729325    
   4442.300       1.711608    
   4443.200       1.698463    
   4444.100       1.701966    
   4445.000       1.710601    
   4445.900       1.720291    
   4446.800       1.723440    
   4447.700       1.724671    
   4448.600       1.725021    
   4449.500       1.723396    
   4450.400       1.718703    
   4451.300       1.720517    
   4452.200       1.726089    
   4453.100       1.723591    
   4454.000       1.710369    
   4454.900       1.700806    
   4455.800       1.706869    
   4456.700       1.718939    
   4457.600       1.730321    
   4458.500       1.733447    
   4459.400       1.735279    
   4460.300       1.732167    
   4461.200       1.729409    
   4462.100       1.727362    
   4463.000       1.723714    
   4463.900       1.714808    
   4464.800       1.706698    
   4465.700       1.702722    
   4466.600       1.700071    
   4467.500       1.686268    
   4468.400       1.676934    
   4469.300       1.681856    
   4470.200       1.697839    
   4471.100       1.708803    
   4472.000       1.716406    
   4472.900       1.720186    
   4473.800       1.718303    
   4474.700       1.711280    
   4475.600       1.703208    
   4476.500       1.693785    
   4477.400       1.687973    
   4478.300       1.682201    
   4479.200       1.675099    
   4480.100       1.653957    
   4481.000       1.634065    
   4481.900       1.648463    
   4482.800       1.681450    
   4483.700       1.702995    
   4484.600       1.707071    
   4485.500       1.708665    
   4486.400       1.710492    
   4487.300       1.708189    
   4488.200       1.700430    
   4489.100       1.699001    
   4490.000       1.699266    
   4490.900       1.701500    
   4491.800       1.702412    
   4492.700       1.703905    
   4493.600       1.704501    
   4494.500       1.710378    
   4495.400       1.714940    
   4496.300       1.710961    
   4497.200       1.704093    
   4498.100       1.704524    
   4499.000       1.700116    
   4499.900       1.684959    
   4500.800       1.665018    
   4501.700       1.664069    
   4502.600       1.676609    
   4503.500       1.690929    
   4504.400       1.699645    
   4505.300       1.700336    
   4506.200       1.692835    
   4507.100       1.684297    
   4508.000       1.677884    
   4508.900       1.678738    
   4509.800       1.684701    
   4510.700       1.688847    
   4511.600       1.693472    
   4512.500       1.692457    
   4513.400       1.684905    
   4514.300       1.673722    
   4515.200       1.670917    
   4516.100       1.674666    
   4517.000       1.679707    
   4517.900       1.678364    
   4518.800       1.672118    
   4519.700       1.664081    
   4520.600       1.661314    
   4521.500       1.655310    
   4522.400       1.650115    
   4523.300       1.651778    
   4524.200       1.660835    
   4525.100       1.663844    
   4526.000       1.666918    
   4526.900       1.669325    
   4527.800       1.661572    
   4528.700       1.648698    
   4529.600       1.647805    
   4530.500       1.652521    
   4531.400       1.654959    
   4532.300       1.643771    
   4533.200       1.630051    
   4534.100       1.625553    
   4535.000       1.635868    
   4535.900       1.648306    
   4536.800       1.653797    
   4537.700       1.656500    
   4538.600       1.658309    
   4539.500       1.658120    
   4540.400       1.654062    
   4541.300       1.650014    
   4542.200       1.648407    
   4543.100       1.651707    
   4544.000       1.649660    
   4544.900       1.644081    
   4545.800       1.640028    
   4546.700       1.637917    
   4547.600       1.621998    
   4548.500       1.592634    
   4549.400       1.569288    
   4550.300       1.577292    
   4551.200       1.605305    
   4552.100       1.621161    
   4553.000       1.614141    
   4553.900       1.603647    
   4554.800       1.600042    
   4555.700       1.610044    
   4556.600       1.618327    
   4557.500       1.619867    
   4558.400       1.620035    
   4559.300       1.623351    
   4560.200       1.626224    
   4561.100       1.627357    
   4562.000       1.617762    
   4562.900       1.601745    
